Country,Year,Population
Russian Federation,1989,"147,341,508"
Russian Federation,1988,"146,464,378"
United Kingdom,2016,"65,655,203"
United Kingdom,2015,"65,224,364"
United Kingdom,2014,"64,773,504"
United Kingdom,2013,"64,302,297"
United Kingdom,2012,"63,808,727"
United Kingdom,2011,"63,286,362"
United Kingdom,2010,"62,760,039"
United Kingdom,2009,"62,243,378"
United Kingdom,2008,"61,742,151"
United Kingdom,2007,"61,260,676"
United Kingdom,2006,"60,803,700"
United Kingdom,2005,"60,383,741"
United Kingdom,2004,"59,995,851"
United Kingdom,2003,"59,649,799"
United Kingdom,2002,"59,355,690"
United Kingdom,2001,"59,092,016"
United Kingdom,2000,"58,850,043"
United Kingdom,1999,"58,635,202"
United Kingdom,1998,"58,438,321"
United Kingdom,1997,"58,250,198"
United Kingdom,1996,"58,078,586"
United Kingdom,1995,"57,930,364"
United Kingdom,1994,"57,785,900"
United Kingdom,1993,"57,647,463"
United Kingdom,1992,"57,509,240"
United Kingdom,1991,"57,359,454"
United Kingdom,1990,"57,210,442"
United Kingdom,1989,"57,076,099"
United Kingdom,1988,"56,952,648"
USA,2016,"327,210,198"
USA,2015,"324,607,776"
USA,2014,"322,033,964"
USA,2013,"319,375,166"
USA,2012,"316,651,321"
USA,2011,"313,876,608"
USA,2010,"311,182,845"
USA,2009,"308,512,035"
USA,2008,"305,694,910"
USA,2007,"302,743,399"
USA,2006,"299,753,098"
USA,2005,"296,842,670"
USA,2004,"293,947,885"
USA,2003,"291,109,820"
USA,2002,"288,350,252"
USA,2001,"285,470,493"
USA,2000,"282,398,554"
USA,1999,"279,181,581"
USA,1998,"275,835,018"
USA,1997,"272,395,438"
USA,1996,"268,984,347"
USA,1995,"265,660,556"
USA,1994,"262,273,589"
USA,1993,"258,779,753"
USA,1992,"255,175,339"
USA,1991,"251,560,189"
USA,1990,"248,083,732"
USA,1989,"244,954,094"
USA,1988,"242,287,814"
Vietnam,2016,"93,126,529"
Vietnam,2015,"92,191,398"
Vietnam,2014,"91,235,504"
Vietnam,2013,"90,267,739"
Vietnam,2012,"89,301,326"
Vietnam,2011,"88,349,117"
Vietnam,2010,"87,411,012"
Vietnam,2009,"86,482,923"
Vietnam,2008,"85,597,241"
Vietnam,2007,"84,762,269"
Vietnam,2006,"83,951,800"
Vietnam,2005,"83,142,095"
Vietnam,2004,"82,311,227"
Vietnam,2003,"81,475,825"
Vietnam,2002,"80,642,308"
Vietnam,2001,"79,817,777"
Vietnam,2000,"79,001,142"
Vietnam,1999,"78,123,713"
Vietnam,1998,"77,128,424"
Vietnam,1997,"76,058,603"
Vietnam,1996,"74,946,448"
Vietnam,1995,"73,759,110"
Vietnam,1994,"72,501,087"
Vietnam,1993,"71,176,405"
Vietnam,1992,"69,788,747"
Vietnam,1991,"68,358,820"
Vietnam,1990,"66,912,613"
Vietnam,1989,"65,466,361"
Vietnam,1988,"64,037,514"
